127.0.0.1 - - [30/Jun/2015:09:21:28 +0200] "GET /OSAC/ HTTP/1.1" 200 11135
127.0.0.1 - - [30/Jun/2015:09:21:29 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:09:21:29 +0200] "GET /OSAC/resources/stylesheets/fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:09:21:33 +0200] "GET /OSAC/administration HTTP/1.1" 200 8127
127.0.0.1 - - [30/Jun/2015:09:21:34 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 4601
127.0.0.1 - - [30/Jun/2015:09:21:34 +0200] "GET /favicon.ico HTTP/1.1" 404 1027
127.0.0.1 - - [30/Jun/2015:09:21:34 +0200] "GET /favicon.ico HTTP/1.1" 404 1027
127.0.0.1 - - [30/Jun/2015:09:22:17 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 4601
127.0.0.1 - - [30/Jun/2015:09:39:37 +0200] "GET /site/20486?limit=0&id=5978151250097104279 HTTP/1.1" 404 1025
127.0.0.1 - - [30/Jun/2015:10:35:47 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:36:11 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:36:11 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:11 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:11 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:11 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:11 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:11 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:11 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:26 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:36:26 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:26 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:26 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:26 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:26 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:26 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:26 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:27 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:36:27 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:27 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:27 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:27 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:27 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:27 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:27 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:36:28 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:37:20 +0200] "GET /OSAC/administration HTTP/1.1" 200 8127
127.0.0.1 - - [30/Jun/2015:10:37:22 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:39:02 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:39:03 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:03 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:03 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:03 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:03 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:03 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:03 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:17 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:39:17 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:17 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:17 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:17 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:17 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:17 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:39:17 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:40:25 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 404 1003
127.0.0.1 - - [30/Jun/2015:10:40:36 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 4328
127.0.0.1 - - [30/Jun/2015:10:40:36 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 4328
127.0.0.1 - - [30/Jun/2015:10:41:08 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 4240
127.0.0.1 - - [30/Jun/2015:10:41:20 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 200 26061
127.0.0.1 - - [30/Jun/2015:10:47:06 +0200] "GET /OSAC/administration-utilisateurs HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:47:06 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:47:06 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:47:06 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:47:06 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:47:06 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:47:06 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:47:06 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:48:53 +0200] "GET /OSAC/administration-utilisateurs?page=1&size=1 HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:51:46 +0200] "GET /OSAC/administration-utilisateurs?page=1&size=1 HTTP/1.1" 500 8214
127.0.0.1 - - [30/Jun/2015:10:51:46 +0200] "GET /OSAC/resources/stylesheets/foundation/foundation.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:51:46 +0200] "GET /OSAC/resources/stylesheets/foundation/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:51:46 +0200] "GET /OSAC/resources/stylesheets/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:51:46 +0200] "GET /OSAC/resources/stylesheets/base.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:51:46 +0200] "GET /OSAC/resources/stylesheets/home.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:51:46 +0200] "GET /OSAC/resources/stylesheets/administration-parametre.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:51:46 +0200] "GET /OSAC/resources/stylesheets/administration.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2015:10:53:41 +0200] "GET /OSAC/administration-utilisateurs?page=1&size=1 HTTP/1.1" 200 25582
